"sub","id","trial","high","phigh","low","medium","risky.choice"
1,10,1,-1.5,0.92,-6.4,-1.8,0
1,17,2,-9.7,0.1,-24.7,-23.8,1
1,24,3,9.2,0.05,-9.5,-7.5,0
1,53,4,25.7,0.1,8.1,11.5,0
1,47,5,24.3,0.04,9.7,10.6,0
1,51,6,13.1,0.94,3.8,12.8,1
1,55,7,11.4,0.97,1.9,11,0
1,52,8,3.5,0.09,0.1,0.5,0
1,42,9,17.9,0.92,7.2,17.1,0
1,9,10,-5.7,0.95,-16.3,-6.1,0
1,44,11,10,0.96,1.7,9.9,0
1,60,12,8,0.92,0.8,7.7,0
1,54,13,16.5,0.01,6.9,7,1
1,39,14,7.4,0.3,-8.2,-6.9,1
1,22,15,9.6,0.91,-6.4,8.7,0
1,46,16,17.1,0.1,6.9,8,1
1,20,17,-4.3,0.6,-16.1,-4.5,0
1,5,18,-1.7,0.9,-3.9,-1.9,1
1,27,19,1.6,0.93,-8.3,1.2,0
1,26,20,6.4,0.05,-5.3,-4.9,0
1,32,21,6.7,0.93,-5,5.6,0
1,48,22,18.2,0.98,6.9,18.1,0
1,1,23,-0.3,0.96,-2.1,-0.3,0
1,16,24,-7.1,0.07,-19.6,-18.7,0
1,34,25,1.3,0.05,-4.3,-4.1,0
1,28,26,5.9,0.8,-0.8,4.6,0
1,15,27,-8.9,0.08,-26.3,-25.4,0
1,33,28,7.3,0.96,-8.5,6.8,0
1,57,29,11.5,0.6,3.7,7.9,1
1,31,30,6.7,0.95,-1.8,6.4,0
1,2,31,-0.9,0.95,-4.2,-1,0
1,6,32,-6.3,0.99,-15.7,-6.4,0
1,18,33,-4,0.2,-9.3,-8.1,1
1,30,34,3,0.91,-7.7,1.4,0
1,29,35,7.9,0.92,-2.3,7,1
1,59,36,10.1,0.3,4.2,6,1
1,40,37,6,0.98,-1.3,5.9,0
1,45,38,2.8,0.8,1,2.2,1
1,23,39,7.3,0.8,-3.6,5.6,0
1,8,40,-0.7,0.1,-6.5,-6,0
1,36,41,5,0.08,-9.1,-7.9,0
1,14,42,-8.8,0.6,-19.5,-15.5,1
1,38,43,6.7,0.07,-6.2,-5.1,1
1,13,44,-2,0.05,-10.4,-9.4,0
1,4,45,-10,0.2,-29.2,-25.6,1
1,12,46,-5.4,0.94,-16.8,-6.4,0
1,37,47,2.1,0.8,-8.4,1.3,0
1,19,48,-6.5,0.9,-17.5,-8.4,1
1,7,49,-5.6,0.7,-20.2,-11.7,0
1,50,50,5.8,0.04,2.7,2.8,1
1,41,51,18.8,0.8,7.6,15.5,1
1,43,52,22.9,0.06,9.6,9.2,1
1,3,53,-6.3,0.3,-15.2,-12.2,0
1,11,54,-1.2,0.02,-12.3,-12.1,1
1,35,55,3,0.93,-7.2,2.2,0
1,21,56,2,0.1,-5.7,-4.6,0
1,58,57,20.8,0.99,8.9,20.7,0
1,25,58,7.4,0.02,-6.6,-6.4,1
1,56,59,26.5,0.94,8.3,25.2,0
1,49,60,13.4,0.5,3.8,9.9,0
2,15,1,-8.9,0.08,-26.3,-25.4,0
2,28,2,5.9,0.8,-0.8,4.6,0
2,41,3,18.8,0.8,7.6,15.5,1
2,55,4,11.4,0.97,1.9,11,0
2,16,5,-7.1,0.07,-19.6,-18.7,0
2,36,6,5,0.08,-9.1,-7.9,0
2,25,7,7.4,0.02,-6.6,-6.4,1
2,19,8,-6.5,0.9,-17.5,-8.4,1
2,4,9,-10,0.2,-29.2,-25.6,1
2,35,10,3,0.93,-7.2,2.2,0
2,14,11,-8.8,0.6,-19.5,-15.5,0
2,1,12,-0.3,0.96,-2.1,-0.3,0
2,5,13,-1.7,0.9,-3.9,-1.9,0
2,56,14,26.5,0.94,8.3,25.2,0
2,30,15,3,0.91,-7.7,1.4,0
2,12,16,-5.4,0.94,-16.8,-6.4,0
2,9,17,-5.7,0.95,-16.3,-6.1,0
2,7,18,-5.6,0.7,-20.2,-11.7,1
2,43,19,22.9,0.06,9.6,9.2,1
2,24,20,9.2,0.05,-9.5,-7.5,0
2,33,21,7.3,0.96,-8.5,6.8,0
2,46,22,17.1,0.1,6.9,8,0
2,48,23,18.2,0.98,6.9,18.1,0
2,49,24,13.4,0.5,3.8,9.9,0
2,58,25,20.8,0.99,8.9,20.7,0
2,45,26,2.8,0.8,1,2.2,0
2,20,27,-4.3,0.6,-16.1,-4.5,0
2,17,28,-9.7,0.1,-24.7,-23.8,1
2,38,29,6.7,0.07,-6.2,-5.1,0
2,37,30,2.1,0.8,-8.4,1.3,0
2,54,31,16.5,0.01,6.9,7,1
2,31,32,6.7,0.95,-1.8,6.4,0
2,42,33,17.9,0.92,7.2,17.1,0
2,2,34,-0.9,0.95,-4.2,-1,0
2,29,35,7.9,0.92,-2.3,7,0
2,40,36,6,0.98,-1.3,5.9,0
2,44,37,10,0.96,1.7,9.9,0
2,10,38,-1.5,0.92,-6.4,-1.8,0
2,59,39,10.1,0.3,4.2,6,0
2,39,40,7.4,0.3,-8.2,-6.9,1
2,11,41,-1.2,0.02,-12.3,-12.1,0
2,57,42,11.5,0.6,3.7,7.9,0
2,26,43,6.4,0.05,-5.3,-4.9,1
2,27,44,1.6,0.93,-8.3,1.2,0
2,13,45,-2,0.05,-10.4,-9.4,0
2,51,46,13.1,0.94,3.8,12.8,0
2,52,47,3.5,0.09,0.1,0.5,1
2,53,48,25.7,0.1,8.1,11.5,1
2,18,49,-4,0.2,-9.3,-8.1,0
2,22,50,9.6,0.91,-6.4,8.7,0
2,21,51,2,0.1,-5.7,-4.6,0
2,3,52,-6.3,0.3,-15.2,-12.2,0
2,23,53,7.3,0.8,-3.6,5.6,0
2,32,54,6.7,0.93,-5,5.6,0
2,6,55,-6.3,0.99,-15.7,-6.4,0
2,8,56,-0.7,0.1,-6.5,-6,0
2,47,57,24.3,0.04,9.7,10.6,0
2,60,58,8,0.92,0.8,7.7,0
2,50,59,5.8,0.04,2.7,2.8,0
